H_COUNTRY,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,1.1,0.86,1.18,1.03,0.98,2.73,0.02,0.03,0.02,0.04,0.01,0.09,0.08,0.09,0.04,0.05
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.029,0.034,0.02,0.023,0.019,0.017,0.015,0.01,0.02,0.00
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.023,0.012,0.012,0.075,0.04,0.046,0.053,0.02,0.06,0.01
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.02,0.015,0.01,2.2,1.92,0.012,0.01,0.48,0.81,1.62,2.2,0.46
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.74
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.12,3.12,3.23,6.75,7.44,3.5,1.94,0.6,0.075,3.67,25.00
United Kingdom,,,,,,,,,,,,,,,,,,,,,1.2,8.3,2.7,,0.2,0.6,0.14,0.64,0.04,0.31,0.08,0.02,0.76,1.51,2.42,7.97,25.52
United States of America,,,,,,,,,,,,,,,,,,,,,0.8,2.2,0.12,2.3,9.4,25,42.35,57.23,191.1,187.15,205.42,197.24,337.37,397.55,400.19,449.66,503.49
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,2.2,4.2,5,3,6,8.75,21.32,18.35,32.16,54.3,51.23,57.57,35.62,45.64,43.00
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.07,0.03,0.06,1.1,1.4,5.47,9.69,2.58,4.35,8.24,11.7,10.2,9.78,6.01,27.04,31.56
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.08,0.035,0.02,0.04,0.2,4.51,6.39,19.36,58.53,56.77
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.05,0.016,0.023,0.02,0.02
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.086,0.13,0.12,0.09,0.12,0.11,0.09,1.1,0.07,2.58,3.52,1.88,3.24
